State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Goa,Porvorim,1,59066,709045,1,29533,6,226,0.003308013,0.003308013,0,0.50264641
Goa,VascodaGama,1,94393,709045,1,47196.5,6,292,0.005412765,0.005412765,0,0.504330212
Gujarat,Ahmedabad,26,5577940,290000,1,2788970,7,4,0.33211778,0.33211778,0.390625,0.687569224
Gujarat,Anand,3,286921,290000,1,143460.5,7,15,0.016883418,0.016883418,0.03125,0.507256734
Gujarat,Bharuch,2,168138,290000,1,84069,7,44,0.009806429,0.009806429,0.015625,0.504720143
Gujarat,Bhavnagar,1,593304,290000,1,296652,7,45,0.035137453,0.035137453,0,0.528109963
Gujarat,Bhuj,1,593304,290000,1,296652,7,51,0.035137453,0.035137453,0,0.528109963
Gujarat,Bilimora,1,53187,290000,1,26593.5,7,55,0.002957747,0.002957747,0,0.502366197
Gujarat,Gandhidham,1,247992,290000,1,123996,7,92,0.014564061,0.014564061,0,0.511651249
Gujarat,Gandhinagar,2,292797,290000,1,146398.5,7,93,0.017233505,0.017233505,0.015625,0.510661804
Gujarat,Godhra,1,143644,290000,1,71822,7,98,0.008347097,0.008347097,0,0.506677678
Gujarat,Himmatnagar,1,81137,290000,1,40568.5,7,116,0.004622984,0.004622984,0,0.503698387
Gujarat,Jamnagar,1,479913,290000,1,239956.5,7,134,0.028381715,0.028381715,0,0.522705372
Gujarat,Mehsana,1,184991,290000,1,92495.5,7,185,0.010810516,0.010810516,0,0.508648413
Gujarat,Nadiad,1,225071,290000,1,112535.5,7,194,0.013198448,0.013198448,0,0.510558758
Gujarat,Navsari,1,160945,290000,1,80472.5,7,204,0.009377876,0.009377876,0,0.507502301
Gujarat,Palanpur,1,122344,290000,1,61172,7,213,0.007078061,0.007078061,0,0.505662449
Gujarat,Porbandar,1,122344,290000,1,61172,7,225,0.007078061,0.007078061,0,0.505662449
Gujarat,Rajkot,4,1286678,290000,1,643339,7,233,0.07644808,0.07644808,0.046875,0.551783464
