State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Telangana,Kothagudem,1,79819,427730,1,39909.5,26,163,0.004544458,0.004544458,0,0.503635567
Telangana,Mahbubnagar,1,4053028,427730,1,2026514,26,175,0.241264834,0.241264834,0,0.693011867
Telangana,Mancherial,1,228450,427730,1,114225,26,178,0.013399766,0.013399766,0,0.510719813
Telangana,Nirmal,1,228450,427730,1,114225,26,207,0.013399766,0.013399766,0,0.510719813
Telangana,Suryapet,1,105250,427730,1,52625,26,271,0.006059616,0.006059616,0,0.504847692
Telangana,Warangal,3,3512576,427730,1,1756288,26,298,0.209065169,0.209065169,0.03125,0.661002135
Uttar Pradesh,Agra,6,4418797,90000,1,2209398.5,27,2,0.263057037,0.263057037,0.078125,0.694820629
Uttar Pradesh,Aligarh,2,3673889,90000,1,1836944.5,27,10,0.218676059,0.218676059,0.015625,0.671815847
Uttar Pradesh,Ayodhya,1,2470996,90000,1,1235498,27,22,0.147008728,0.147008728,0,0.617606982
Uttar Pradesh,Bareilly,3,4448359,90000,1,2224179.5,27,31,0.264818315,0.264818315,0.03125,0.705604652
Uttar Pradesh,Budaun,1,3681896,90000,1,1840948,27,58,0.219153109,0.219153109,0,0.675322487
Uttar Pradesh,Bulandshahr,1,3499171,90000,1,1749585.5,27,59,0.20826651,0.20826651,0,0.666613208
Uttar Pradesh,Etawah,1,1581810,90000,1,790905,27,87,0.094031791,0.094031791,0,0.575225433
Uttar Pradesh,Ghaziabad,12,4681645,90000,1,2340822.5,27,96,0.278717294,0.278717294,0.171875,0.688598836
Uttar Pradesh,Gonda,1,3433919,90000,1,1716959.5,27,99,0.204378852,0.204378852,0,0.663503082
Uttar Pradesh,Gorakhpur,4,4440895,90000,1,2220447.5,27,100,0.264373616,0.264373616,0.046875,0.702123893
Uttar Pradesh,Greater Noida,6,1648115,90000,1,824057.5,27,101,0.097982186,0.097982186,0.078125,0.562760748
Uttar Pradesh,Hapur,1,1338211,90000,1,669105.5,27,113,0.079518372,0.079518372,0,0.563614697
Uttar Pradesh,Hardoi,1,1338211,90000,1,669105.5,27,114,0.079518372,0.079518372,0,0.563614697
Uttar Pradesh,Jhansi,2,1998603,90000,1,999301.5,27,137,0.118863959,0.118863959,0.015625,0.591966167
Uttar Pradesh,Kanpur,4,4581268,90000,1,2290634,27,146,0.272736919,0.272736919,0.046875,0.708814535
Uttar Pradesh,Lakhimpur,1,4021243,90000,1,2010621.5,27,170,0.239371111,0.239371111,0,0.691496889
Uttar Pradesh,Lucknow,13,4589838,90000,1,2294919,27,172,0.273247512,0.273247512,0.1875,0.68109801
Uttar Pradesh,Mathura,2,2547184,90000,1,1273592,27,183,0.151547944,0.151547944,0.015625,0.618113355
Uttar Pradesh,Meerut,1,3443689,90000,1,1721844.5,27,184,0.204960941,0.204960941,0,0.663968752
Uttar Pradesh,Moradabad,1,3443689,90000,1,1721844.5,27,189,0.204960941,0.204960941,0,0.663968752
Uttar Pradesh,Noida,8,1648115,90000,1,824057.5,27,208,0.097982186,0.097982186,0.109375,0.556510748
Uttar Pradesh,Prayagraj,1,5954391,90000,1,2977195.5,27,227,0.354546407,0.354546407,0,0.783637125
Uttar Pradesh,Saharanpur,1,3466382,90000,1,1733191,27,245,0.20631297,0.20631297,0,0.665050376
Uttar Pradesh,Sambhal,1,2216569,90000,1,1108284.5,27,249,0.131850186,0.131850186,0,0.605480149
Uttar Pradesh,Unnao,1,3108367,90000,1,1554183.5,27,287,0.184982744,0.184982744,0,0.647986195
Uttar Pradesh,Varanasi,4,3676841,90000,1,1838420.5,27,291,0.218851936,0.218851936,0.046875,0.665706549
Uttarakhand,Dehradun,6,1696694,210000,1,848347,28,72,0.100876481,0.100876481,0.078125,0.565076185
Uttarakhand,Haldwani,1,232095,210000,1,116047.5,28,112,0.013616932,0.013616932,0,0.510893545
Uttarakhand,Haridwar,1,232095,210000,1,116047.5,28,115,0.013616932,0.013616932,0,0.510893545
Uttarakhand,Rudrapur,2,154554,210000,1,77277,28,242,0.008997106,0.008997106,0.015625,0.504072684
West Bengal,Asansol,1,1243008,150000,1,621504,29,19,0.073846259,0.073846259,0,0.559077007
West Bengal,Balurghat,1,153279,150000,1,76639.5,29,27,0.008921142,0.008921142,0,0.507136914
West Bengal,Bardhaman,1,7717563,150000,1,3858781.5,29,30,0.459594678,0.459594678,0,0.867675743
West Bengal,Barrackpore,1,7717563,150000,1,3858781.5,29,35,0.459594678,0.459594678,0,0.867675743
West Bengal,Cooch Behar,1,77935,150000,1,38967.5,29,69,0.004432211,0.004432211,0,0.503545769
West Bengal,Habra,1,147221,150000,1,73610.5,29,110,0.008560212,0.008560212,0,0.506848169
West Bengal,Howrah,3,4850029,150000,1,2425014.5,29,120,0.288749468,0.288749468,0.03125,0.724749575
West Bengal,Jalpaiguri,1,3869675,150000,1,1934837.5,29,132,0.23034082,0.23034082,0,0.684272656
West Bengal,Kharagpur,1,207604,150000,1,103802,29,152,0.012157779,0.012157779,0,0.509726223
West Bengal,Kolkata,27,4580544,150000,1,2290272,29,159,0.272693784,0.272693784,0.40625,0.636905027
West Bengal,Krishnanagar,1,153062,150000,1,76531,29,167,0.008908213,0.008908213,0,0.507126571
West Bengal,Malda,1,324237,150000,1,162118.5,29,177,0.019106673,0.019106673,0,0.515285338
West Bengal,Midnapore,1,324237,150000,1,162118.5,29,186,0.019106673,0.019106673,0,0.515285338
West Bengal,Serampore,1,181842,150000,1,90921,29,256,0.010622901,0.010622901,0,0.508498321
West Bengal,Siliguri,3,513264,150000,1,256632,29,263,0.030368739,0.030368739,0.03125,0.518044991
West Bengal,Uttarpara,1,158589,150000,1,79294.5,29,288,0.009237507,0.009237507,0,0.507390006
