State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded
Himachal Pradesh,Una,1,521173,215000,1,260586.5,9,286
Jammu&Kashmir,Jammu,2,657314,132806,1,328657.0,10,133
Jharkhand,Bokaro,1,564319,95000,1,282159.5,11,56
Jharkhand,Dhanbad,1,1162472,95000,1,581236.0,11,76
Jharkhand,Jamshedpur,3,1337131,95000,1,668565.5,11,135
Jharkhand,Ranchi,2,1126720,95000,1,563360.0,11,236
Karnataka,Bagalkot,1,111933,421858,1,55966.5,12,24
Karnataka,Belgaum,2,488157,421858,1,244078.5,12,38
Karnataka,Bellary,1,410445,421858,1,205222.5,12,39
Karnataka,Bengaluru,62,8443675,421858,1,4221837.5,12,40
Karnataka,Chitradurga,1,145853,421858,1,72926.5,12,64
Karnataka,Davanagere,2,434971,421858,1,217485.5,12,71
Karnataka,Gadag,1,172612,421858,1,86306.0,12,91
Karnataka,Hosapete,1,206167,421858,1,103083.5,12,118
Karnataka,Hubballi,3,943788,421858,1,471894.0,12,121
Karnataka,Kalaburagi,1,533587,421858,1,266793.5,12,143
Karnataka,Mandya,1,137358,421858,1,68679.0,12,179
Karnataka,Mangaluru,3,488968,421858,1,244484.0,12,180
Karnataka,Mysore,4,893062,421858,1,446531.0,12,193
Karnataka,Raichur,1,893062,421858,1,446531.0,12,230
Karnataka,Shivamogga,1,322650,421858,1,161325.0,12,260
Karnataka,Tumakuru,1,302143,421858,1,151071.5,12,283
Karnataka,Udupi,1,125406,421858,1,62703.0,12,285
Karnataka,Vijayapura(Bijapur),1,125406,421858,1,62703.0,12,294
Kerala,Adoor,1,29171,308000,1,14585.5,13,1
Kerala,Alappuzha,1,2127789,308000,1,1063894.5,13,9
Kerala,Kanjirappally,1,2127789,308000,1,1063894.5,13,144
Kerala,Kannur,2,2523003,308000,1,1261501.5,13,145
Kerala,Kochi,13,677381,308000,1,338690.5,13,155
Kerala,Kollam,2,2635375,308000,1,1317687.5,13,160
Kerala,Kondotty,1,2635375,308000,1,1317687.5,13,161
Kerala,Kothamangalam,1,2635375,308000,1,1317687.5,13,164
Kerala,Kottayam,4,136812,308000,1,68406.0,13,165
Kerala,Kozhikode,3,2030519,308000,1,1015259.5,13,166
Kerala,Malappuram,6,4112920,308000,1,2056460.0,13,176
Kerala,Mannarkkad,1,34839,308000,1,17419.5,13,181
Kerala,Palakkad,5,2809934,308000,1,1404967.0,13,211
Kerala,Perintalmanna,1,49723,308000,1,24861.5,13,222
Kerala,Thiruvananthapuram,9,986000,308000,1,493000.0,13,276
Kerala,Thodupuzha,1,52045,308000,1,26022.5,13,277
Kerala,Thrissur,8,315957,308000,1,157978.5,13,278
Kerala,Tirur,1,56058,308000,1,28029.0,13,282
Kerala,Wayanad,1,817420,308000,1,408710.0,13,300
Kerala,kozhikode,3,817420,308000,1,408710.0,13,305
Madhya Pradesh,Ashok Nagar,1,817420,115000,1,408710.0,14,20
Madhya Pradesh,Bhopal,4,2371061,115000,1,1185530.5,14,49
Madhya Pradesh,Chhindwara,1,2090922,115000,1,1045461.0,14,62
Madhya Pradesh,Dewas,1,1563715,115000,1,781857.5,14,74
Madhya Pradesh,Guna,1,1240938,115000,1,620469.0,14,103
Madhya Pradesh,Gwalior,4,2032036,115000,1,1016018.0,14,109
Madhya Pradesh,Indore,9,3276697,115000,1,1638348.5,14,125
Madhya Pradesh,Jabalpur,1,2463289,115000,1,1231644.5,14,127
Madhya Pradesh,Khandwa,1,1310061,115000,1,655030.5,14,151
Madhya Pradesh,Khargone,1,1872413,115000,1,936206.5,14,153
Madhya Pradesh,Rewa,1,1872413,115000,1,936206.5,14,238
Madhya Pradesh,Sagar,1,2378458,115000,1,1189229.0,14,244
Madhya Pradesh,Satna,1,2378458,115000,1,1189229.0,14,254
Madhya Pradesh,Sehore,1,1311332,115000,1,655666.0,14,255
Maharashtra,Ahilyanagar,1,4543159,310000,1,2271579.5,15,3
Maharashtra,Ahmednagar,1,4543159,310000,1,2271579.5,15,5
Maharashtra,Akola,1,4543159,310000,1,2271579.5,15,8
Maharashtra,Amalner,1,4543159,310000,1,2271579.5,15,11
Maharashtra,Aurangabad,1,1175116,310000,1,587558.0,15,21
Maharashtra,Baramati,1,429600,310000,1,214800.0,15,29
Maharashtra,Bhandara,1,1200334,310000,1,600167.0,15,43
Maharashtra,Buldana,1,1200334,310000,1,600167.0,15,60
Maharashtra,Dharashiv,1,1657576,310000,1,828788.0,15,77
Maharashtra,Dhule,1,1657576,310000,1,828788.0,15,80
Maharashtra,Ichalkaranji,1,1657576,310000,1,828788.0,15,123
Maharashtra,Jalgaon,1,4229917,310000,1,2114958.5,15,130
Maharashtra,Jalna,1,1958483,310000,1,979241.5,15,131
Maharashtra,Jaysingpur,1,1958483,310000,1,979241.5,15,136
Maharashtra,Kolhapur,2,3876001,310000,1,1938000.5,15,158
Maharashtra,Latur,2,3876001,310000,1,1938000.5,15,171
Maharashtra,Mumbai,33,3085411,310000,1,1542705.5,15,191
Maharashtra,Nagpur,9,2405421,310000,1,1202710.5,15,196
Maharashtra,Nanded,1,913898,310000,1,456949.0,15,200
Maharashtra,Nashik,9,1486053,310000,1,743026.5,15,202
Maharashtra,Navi Mumbai,11,1120547,310000,1,560273.5,15,203
Maharashtra,Palghar,1,68930,310000,1,34465.0,15,214
Maharashtra,Pune,39,5049968,310000,1,2524984.0,15,228
Maharashtra,Sangamner,1,5049968,310000,1,2524984.0,15,251
Maharashtra,Sangli,1,502793,310000,1,251396.5,15,252
Maharashtra,Shegaon,1,156116,310000,1,78058.0,15,257
Maharashtra,Shirpur,1,16890,310000,1,8445.0,15,259
Maharashtra,Solapur,2,951558,310000,1,475779.0,15,267
Maharashtra,Thane,8,1841488,310000,1,920744.0,15,274
Maharashtra,Wardha,1,1841488,310000,1,920744.0,15,299
Manipur,Churachandpur,1,274143,153993,1,137071.5,16,67
Manipur,Imphal,2,456113,153993,1,228056.5,16,124
Meghalaya,Shillong,1,541319,139602,1,270659.5,17,258
Mizoram,Aizawl,1,439000,200000,1,219500.0,18,6
Nagaland,Dimapur,2,182000,175374,1,91000.0,19,82
Nagaland,Kohima,1,310000,175374,1,155000.0,19,157
Odisha,Angul,1,43795,145000,1,21897.5,20,17
Odisha,Balangir,1,43795,145000,1,21897.5,20,25
Odisha,Balasore,1,43795,145000,1,21897.5,20,26
Odisha,Bargarh,1,1481255,145000,1,740627.5,20,32
Odisha,Bhubaneswar,8,838837,145000,1,419418.5,20,50
Odisha,Brahmapur,1,356598,145000,1,178299.0,20,57
Odisha,Cuttack,2,610189,145000,1,305094.5,20,70
Odisha,Dhenkanal,1,1192811,145000,1,596405.5,20,79
Odisha,Jharsuguda,1,97730,145000,1,48865.0,20,138
Odisha,Raygada,1,967911,145000,1,483955.5,20,237
Odisha,Rourkela,1,309689,145000,1,154844.5,20,241
Odisha,Sambalpur,1,335761,145000,1,167880.5,20,248
Puducherry,Pondicherry,1,335761,145000,1,167880.5,21,224
Punjab,Amritsar,6,2490656,200000,1,1245328.0,22,14
Punjab,Barnala,1,596294,200000,1,298147.0,22,33
Punjab,Batala,1,596294,200000,1,298147.0,22,36
Punjab,Bathinda,2,1388525,200000,1,694262.5,22,37
Punjab,Fategharh Sahib,1,1388525,200000,1,694262.5,22,89
Punjab,Fazilka,1,1388525,200000,1,694262.5,22,90
Punjab,Gurdaspur,1,2299026,200000,1,1149513.0,22,106
Punjab,Hoshiarpur,1,2299026,200000,1,1149513.0,22,119
Punjab,Jalandhar,7,2193590,200000,1,1096795.0,22,129
Punjab,Kapurthala,1,98916,200000,1,49458.0,22,147
Punjab,Ludhiana,8,3498739,200000,1,1749369.5,22,173
Punjab,Moga,1,3498739,200000,1,1749369.5,22,187
Punjab,Mohali,3,994628,200000,1,497314.0,22,188
Punjab,Pathankot,2,156306,200000,1,78153.0,22,218
Punjab,Patiala,2,1895686,200000,1,947843.0,22,219
Punjab,Rajpura,1,1895686,200000,1,947843.0,22,235
Punjab,Rupnagar,1,753900,200000,1,376950.0,22,243
Punjab,Zirakpur,4,230000,200000,1,115000.0,22,303
Punjab,ÃƒÂ‚Ã‚Â NawanshahrÃƒÂ‚Ã‚Â ,1,994628,200000,1,497314.0,22,306
Rajasthan,Ajmer,1,2583052,160000,1,1291526.0,23,7
Rajasthan,Banswara,1,2583052,160000,1,1291526.0,23,28
Rajasthan,Bhilwara,1,2408523,160000,1,1204261.5,23,47
Rajasthan,Bhiwadi,1,104883,160000,1,52441.5,23,48
Rajasthan,Bikaner,1,2363937,160000,1,1181968.5,23,53
Rajasthan,Chittorgarh,1,1544338,160000,1,772169.0,23,66
Rajasthan,Jaipur,19,6626178,160000,1,3313089.0,23,128
Rajasthan,Jodhpur,6,3687165,160000,1,1843582.5,23,139
Rajasthan,Kishangarh,1,154886,160000,1,77443.0,23,154
Rajasthan,Kota,2,1951014,160000,1,975507.0,23,162
Rajasthan,Pali,1,2037573,160000,1,1018786.5,23,215
Rajasthan,Shri Ganganagar,1,1969168,160000,1,984584.0,23,261
Rajasthan,Udaipur,3,3068420,160000,1,1534210.0,23,284
Rajasthan,hanumangarh,2,1544338,160000,1,772169.0,23,304
Sikkim,Gangtok,2,148000,784970,1,74000.0,24,94
Sikkim,Namchi,1,146850,784970,1,73425.0,24,199
Tamil Nadu,Chennai,21,4646732,403847,1,2323366.0,25,61
Tamil Nadu,Coimbatore,7,1050721,403847,1,525360.5,25,68
Tamil Nadu,Dharmapuri,1,68590,403847,1,34295.0,25,78
Tamil Nadu,Erode,1,156953,403847,1,78476.5,25,86
Tamil Nadu,Gobichettipalayam,1,59449,403847,1,29724.5,25,97
Tamil Nadu,Gummdipoondi,1,59449,403847,1,29724.5,25,102
